Age (in months),3rd Percentile Weight (in kilograms),5th Percentile Weight (in kilograms),10th Percentile Weight (in kilograms),25th Percentile Weight (in kilograms),50th Percentile Weight (in kilograms),75th Percentile Weight (in kilograms),90th Percentile Weight (in kilograms),95th Percentile Weight (in kilograms),97th Percentile Weight (in kilograms)
24,9.985668,10.21027,10.57373,11.23357,12.05504,12.98667,13.93766,14.56636,15.00156
24.5,10.04881,10.27483,10.64076,11.30567,12.13456,13.07613,14.03902,14.67659,15.11839
25.5,10.17173,10.40066,10.77167,11.44697,12.29102,13.25293,14.24017,14.89587,15.35122
26.5,10.29079,10.52274,10.89899,11.58501,12.44469,13.42753,14.43984,15.11428,15.58363
27.5,10.40664,10.64171,11.02338,11.72047,12.59622,13.60059,14.63873,15.33249,15.81632
28.5,10.5199,10.75819,11.14545,11.85392,12.74621,13.77271,14.83743,15.55113,16.0499
29.5,10.63112,10.87273,11.26575,11.98592,12.89517,13.9444,15.03646,15.7707,16.28491
30.5,10.74078,10.98581,11.38474,12.11692,13.04357,14.11611,15.23626,15.99164,16.52176
31.5,10.84935,11.09789,11.50288,12.24735,13.19181,14.28823,15.43719,16.21432,16.76085
32.5,10.95722,11.20934,11.62054,12.37757,13.34023,14.46106,15.63957,16.43904,17.00245
33.5,11.06475,11.32054,11.73806,12.50791,13.48913,14.63491,15.84365,16.66605,17.24681
34.5,11.17225,11.43177,11.85574,12.63865,13.63877,14.80998,16.04963,16.89553,17.49412
35.5,11.28,11.54332,11.97384,12.77001,13.78937,14.98647,16.25767,17.12762,17.7445
36.5,11.38824,11.65542,12.09259,12.90222,13.94108,15.16452,16.46789,17.36244,17.99807
37.5,11.49718,11.76826,12.21216,13.03542,14.09407,15.34425,16.68038,17.60006,18.25487
38.5,11.607,11.88202,12.33273,13.16977,14.24844,15.52574,16.89519,17.8405,18.51494
39.5,11.71783,11.99685,12.45442,13.30538,14.40429,15.70905,17.11235,18.08377,18.77826
40.5,11.82981,12.11284,12.57735,13.44234,14.56168,15.89422,17.33186,18.32988,19.04483
41.5,11.94304,12.23011,12.70158,13.58071,14.72064,16.08126,17.55371,18.57877,19.31458
42.5,12.05757,12.34871,12.8272,13.72054,14.88121,16.27016,17.77788,18.83042,19.58748
43.5,12.17348,12.4687,12.95423,13.86186,15.04341,16.46093,18.00432,19.08475,19.86343
44.5,12.2908,12.59011,13.08271,14.00469,15.20721,16.65353,18.23298,19.34169,20.14237
