Age (in months),3rd Percentile Stature (in centimeters),5th Percentile Stature (in centimeters),10th Percentile Stature (in centimeters),25th Percentile Stature (in centimeters),50th Percentile Stature (in centimeters),75th Percentile Stature (in centimeters),90th Percentile Stature (in centimeters),95th Percentile Stature (in centimeters),97th Percentile Stature (in centimeters)
24,78.43754,79.25982,80.52476,82.63524,84.97556,87.31121,89.40951,90.66355,91.47729
24.5,78.82133,79.64777,80.91946,83.04213,85.39732,87.74918,89.86316,91.12707,91.94741
25.5,79.60198,80.44226,81.73541,83.8943,86.29026,88.68344,90.83505,92.12168,92.95685
26.5,80.37555,81.22666,82.53699,84.72592,87.15714,89.58751,91.77421,93.08254,93.93209
27.5,81.1357,81.9954,83.31968,85.53389,87.99602,90.46018,92.67969,94.00873,94.87215
28.5,81.87746,82.74411,84.07998,86.31589,88.80551,91.30065,93.55097,94.89974,95.77649
29.5,82.59712,83.46957,84.81532,87.07028,89.58477,92.10859,94.38793,95.75551,96.64505
30.5,83.29206,84.16953,85.52398,87.79609,90.33342,92.88403,95.19083,96.57635,97.47814
31.5,83.96065,84.84264,86.205,88.49291,91.05154,93.62741,95.9603,97.36295,98.27646
32.5,84.6021,85.4883,86.85807,89.16084,91.73964,94.33951,96.69729,98.11632,99.04107
33.5,85.2163,86.10656,87.48344,89.80045,92.39854,95.0214,97.40303,98.83778,99.77332
34.5,85.80379,86.69803,88.08186,90.4127,93.02945,95.67446,98.07904,99.52891,100.4748
35.5,86.36557,87.26379,88.6545,90.99891,93.63382,96.30029,98.72705,100.1915,101.1474
36.5,86.90307,87.80528,89.20285,91.56066,94.21336,96.90071,99.34899,100.8276,101.7931
37.5,87.43482,88.34236,89.74875,92.12298,94.79643,97.50724,99.97896,101.4726,102.4485
38.5,87.95945,88.87256,90.28811,92.67925,95.37392,98.10855,100.604,102.1129,103.0991
39.5,88.4785,89.39733,90.82228,93.2307,95.94693,98.70568,101.2251,102.7494,103.746
40.5,88.9933,89.91797,91.35246,93.7784,96.51645,99.29957,101.8432,103.383,104.3901
41.5,89.50502,90.43559,91.87972,94.32334,97.08337,99.89104,102.459,104.0144,105.032
42.5,90.01466,90.95115,92.40497,94.86634,97.64848,100.4808,103.0732,104.6444,105.6727
43.5,90.52307,91.46549,92.92901,95.40817,98.21247,101.0696,103.6866,105.2736,106.3126
44.5,91.031,91.97932,93.45252,95.94946,98.77593,101.6579,104.2996,105.9025,106.9523
45.5,91.53905,92.49325,93.97609,96.49076,99.3394,102.2462,104.9128,106.5316,107.5922
46.5,92.04774,93.00778,94.50021,97.03254,99.90331,102.835,105.5264,107.1613,108.2328
47.5,92.55748,93.52333,95.02528,97.57519,100.4681,103.4247,106.141,107.7919,108.8744
48.5,93.06862,94.04022,95.55164,98.11905,101.0339,104.0154,106.7567,108.4238,109.5172
49.5,93.58141,94.55872,96.07954,98.66436,101.6012,104.6075,107.3737,109.057,110.1614
50.5,94.09605,95.07903,96.60918,99.21132,102.17,105.2012,107.9924,109.6918,110.8073
51.5,94.61267,95.60128,97.14072,99.76009,102.7406,105.7965,108.6127,110.3283,111.4548
52.5,95.13134,96.12555,97.67423,100.3108,103.313,106.3936,109.2347,110.9665,112.1041
53.5,95.65211,96.65189,98.20976,100.8634,103.8873,106.9925,109.8585,111.6066,112.7552
54.5,96.17495,97.18029,98.74731,101.418,104.4635,107.5933,110.4841,112.2483,113.4079
55.5,96.69982,97.71069,99.28686,101.9745,105.0415,108.1958,111.1114,112.8917,114.0624
56.5,97.22663,98.24303,99.82832,102.5329,105.6213,108.8001,111.7404,113.5368,114.7184
57.5,97.75525,98.77719,100.3716,103.093,106.2029,109.406,112.3709,114.1833,115.3759
58.5,98.28555,99.31303,100.9165,103.6549,106.7861,110.0134,113.0028,114.8312,116.0347
59.5,98.81735,99.85039,101.463,104.2182,107.3707,110.6222,113.6359,115.4802,116.6945
60.5,99.35047,100.3891,102.0109,104.7829,107.9566,111.2321,114.2701,116.1301,117.3552
61.5,99.8847,100.9289,102.5599,105.3488,108.5436,111.8431,114.9052,116.7808,118.0166
62.5,100.4198,101.4696,103.1098,105.9156,109.1316,112.4548,115.5408,117.432,118.6783
63.5,100.9555,102.011,103.6604,106.4831,109.7202,113.0671,116.1768,118.0834,119.3402
64.5,101.4916,102.5529,104.2115,107.0512,110.3092,113.6797,116.813,118.7348,120.0019
65.5,102.0279,103.0948,104.7628,107.6194,110.8984,114.2923,117.449,119.3858,120.6632
66.5,102.564,103.6367,105.3141,108.1877,111.4876,114.9048,118.0845,120.0362,121.3238
67.5,103.0996,104.1782,105.865,108.7556,112.0764,115.5167,118.7193,120.6857,121.9832
68.5,103.6346,104.7191,106.4154,109.323,112.6646,116.1278,119.3531,121.334,122.6413
69.5,104.1685,105.259,106.9648,109.8895,113.2519,116.7379,119.9855,121.9807,123.2977
