Age (in months),3rd Percentile Weight (in kilograms),5th Percentile Weight (in kilograms),10th Percentile Weight (in kilograms),25th Percentile Weight (in kilograms),50th Percentile Weight (in kilograms),75th Percentile Weight (in kilograms),90th Percentile Weight (in kilograms),95th Percentile Weight (in kilograms),97th Percentile Weight (in kilograms)
24,10.38209,10.64009,11.05266,11.78598,12.67076,13.63692,14.5834,15.18777,15.59648
24.5,10.44144,10.70051,11.1149,11.85182,12.74154,13.71386,14.66716,15.2763,15.68841
25.5,10.55847,10.81958,11.23747,11.98142,12.88102,13.8659,14.83332,15.45242,15.8717
26.5,10.6738,10.93681,11.35806,12.10889,13.01842,14.01623,14.99848,15.62819,16.05514
27.5,10.78798,11.0528,11.47728,12.23491,13.1545,14.16567,15.16351,15.8045,16.23967
28.5,10.90147,11.16803,11.59567,12.36007,13.2899,14.31493,15.32917,15.98214,16.42609
29.5,11.01466,11.28293,11.71368,12.4849,13.42519,14.46462,15.4961,16.16177,16.61508
30.5,11.12787,11.39782,11.8317,12.60983,13.56088,14.61527,15.66485,16.34395,16.8072
31.5,11.24135,11.513,11.95005,12.73523,13.69738,14.76732,15.83588,16.52915,17.00291
32.5,11.3553,11.62869,12.069,12.86144,13.83505,14.92117,16.00958,16.71773,17.2026
33.5,11.46988,11.74508,12.18875,12.9887,13.97418,15.07711,16.18624,16.91,17.40654
34.5,11.58521,11.8623,12.30948,13.11723,14.11503,15.23541,16.36612,17.10619,17.61495
35.5,11.70137,11.98046,12.43132,13.24721,14.2578,15.39628,16.5494,17.30646,17.82797
36.5,11.81842,12.09962,12.55436,13.37875,14.40263,15.55987,16.73623,17.51093,18.0457
37.5,11.93639,12.21984,12.67868,13.51197,14.54965,15.7263,16.9267,17.71965,18.26818
38.5,12.05529,12.34115,12.80431,13.64693,14.69893,15.89565,17.12085,17.93265,18.49539
39.5,12.17512,12.46354,12.93128,13.78366,14.85054,16.06797,17.3187,18.14992,18.72731
40.5,12.29587,12.58701,13.05959,13.92218,15.00449,16.24326,17.52025,18.37141,18.96385
41.5,12.41751,12.71154,13.18923,14.0625,15.16078,16.42153,17.72545,18.59705,19.20492
42.5,12.54001,12.8371,13.32017,14.20458,15.3194,16.60273,17.93424,18.82675,19.45041
43.5,12.66334,12.96366,13.45238,14.3484,15.4803,16.78682,18.14654,19.06041,19.70017
44.5,12.78746,13.09119,13.58581,14.49391,15.64343,16.97373,18.36226,19.29789,19.95407
45.5,12.91234,13.21963,13.72043,14.64105,15.80873,17.16336,18.58128,19.53907,20.21195
46.5,13.03792,13.34895,13.85618,14.78977,15.9761,17.35564,18.80348,19.78381,20.47366
47.5,13.16419,13.47911,13.99301,14.93998,16.14548,17.55044,19.02875,20.03197,20.73903
48.5,13.29111,13.61006,14.13086,15.09163,16.31677,17.74767,19.25695,20.28339,21.00793
49.5,13.41864,13.74176,14.26968,15.24463,16.48986,17.9472,19.48794,20.53795,21.28018
50.5,13.54675,13.87418,14.40943,15.39892,16.66468,18.14892,19.7216,20.79548,21.55565
51.5,13.67543,14.00727,14.55004,15.55441,16.8411,18.3527,19.95779,21.05586,21.83419
52.5,13.80466,14.14102,14.69148,15.71103,17.01904,18.55842,20.19637,21.31896,22.11568
53.5,13.93441,14.2754,14.8337,15.86872,17.19839,18.76598,20.43722,21.58464,22.39999
54.5,14.06467,14.41037,14.97666,16.0274,17.37906,18.97524,20.68022,21.8528,22.68702
55.5,14.19544,14.54593,15.12032,16.18701,17.56096,19.1861,20.92526,22.12331,22.97667
56.5,14.32672,14.68205,15.26465,16.34748,17.744,19.39846,21.17222,22.3961,23.26885
57.5,14.4585,14.81872,15.40962,16.50877,17.92809,19.6122,21.421,22.67106,23.56349
58.5,14.59079,14.95595,15.55521,16.67081,18.11316,19.82724,21.67152,22.94813,23.86054
59.5,14.72359,15.09371,15.70139,16.83356,18.29912,20.04348,21.92369,23.22723,24.15995
60.5,14.85692,15.23202,15.84814,16.99698,18.48592,20.26086,22.17744,23.50833,24.46169
61.5,14.99078,15.37087,15.99546,17.16103,18.6735,20.47929,22.4327,23.79136,24.76575
62.5,15.1252,15.51027,16.14334,17.32567,18.8618,20.69871,22.68943,24.07632,25.07212
63.5,15.26018,15.65023,16.29176,17.49088,19.05077,20.91907,22.94758,24.36317,25.38081
64.5,15.39575,15.79076,16.44074,17.65664,19.24037,21.14031,23.20712,24.65192,25.69185
65.5,15.53193,15.93186,16.59026,17.82293,19.43058,21.36242,23.46802,24.94257,26.00527
66.5,15.66872,16.07356,16.74033,17.98974,19.62136,21.58534,23.73029,25.23514,26.32111
67.5,15.80617,16.21586,16.89096,18.15706,19.8127,21.80908,23.99391,25.52965,26.63944
68.5,15.94427,16.35879,17.04215,18.32489,20.00459,22.0336,24.2589,25.82615,26.96033
69.5,16.08306,16.50235,17.19393,18.49324,20.19703,22.25893,24.52527,26.12468,27.28386
70.5,16.22255,16.64657,17.34629,18.66211,20.39002,22.48505,24.79305,26.4253,27.6101
71.5,16.36276,16.79146,17.49926,18.83151,20.58357,22.712,25.06229,26.72807,27.93916
72.5,16.5037,16.93704,17.65285,19.00147,20.7777,22.93978,25.33302,27.03308,28.27115
73.5,16.64539,17.08332,17.80708,19.17199,20.97243,23.16845,25.6053,27.34039,28.60616
74.5,16.78785,17.23031,17.96197,19.34311,21.16779,23.39803,25.87919,27.6501,28.94432
75.5,16.93107,17.37804,18.11754,19.51485,21.36383,23.62858,26.15477,27.9623,29.28574
76.5,17.07507,17.52651,18.2738,19.68724,21.56058,23.86016,26.4321,28.27709,29.63055
77.5,17.21986,17.67574,18.43077,19.86032,21.75811,24.09284,26.71128,28.59457,29.97888
78.5,17.36543,17.82572,18.58848,20.03413,21.95645,24.32667,26.99239,28.91486,30.33083
79.5,17.5118,17.97649,18.74695,20.20871,22.15567,24.56175,27.27553,29.23806,30.68656
80.5,17.65895,18.12803,18.9062,20.38409,22.35584,24.79815,27.56081,29.56428,31.04617
81.5,17.80689,18.28036,19.06624,20.56032,22.55702,25.03598,27.84832,29.89365,31.4098
82.5,17.9556,18.43348,19.2271,20.73745,22.7593,25.27531,28.13817,30.22628,31.77756
83.5,18.10509,18.5874,19.3888,20.91553,22.96273,25.51626,28.43049,30.56228,32.14959
84.5,18.25535,18.74211,19.55136,21.0946,23.16742,25.75894,28.72538,30.90178,32.52599
85.5,18.40637,18.89763,19.71479,21.27471,23.37343,26.00344,29.02298,31.24489,32.90689
86.5,18.55813,19.05395,19.87913,21.45592,23.58086,26.24988,29.3234,31.59174,33.29238
